职位id,工作年限,学历,薪水,城市
4828987,3-5年,本科,12k-24k,杭州
5362452,3-5年,大专,8k-15k,深圳
4939778,3-5年,本科,20k-30k,北京
4292370,3-5年,大专,10k-15k,长沙
5202850,1-3年,本科,4k-8k,沈阳
4900644,3-5年,本科,15k-30k,上海
4841860,不限,本科,9k-15k,杭州
4543772,3-5年,本科,15k-25k,杭州
4238383,3-5年,本科,15k-30k,深圳
5242442,3-5年,本科,15k-25k,成都
5226225,5-10年,本科,28k-48k,深圳
4629095,1-3年,本科,15k-30k,广州
5318643,1-3年,本科,10k-20k,上海
5241104,1-3年,大专,7k-10k,广州
5212378,1-3年,不限,12k-24k,上海
4983979,3-5年,本科,25k-50k,广州
5349324,3-5年,本科,20k-25k,北京
5342917,应届毕业生,本科,10k-20k,广州
5325376,3-5年,本科,10k-18k,成都
4861970,3-5年,本科,15k-30k,北京
5106801,1-3年,本科,22k-40k,北京
5331460,1-3年,大专,7k-9k,厦门
4997370,3-5年,本科,15k-20k,北京
5370402,3-5年,本科,10k-20k,深圳
4543973,1-3年,本科,10k-18k,成都
5242504,1-3年,本科,10k-20k,成都
4107109,3-5年,本科,15k-28k,上海
5331934,3-5年,本科,13k-18k,深圳
4189026,3-5年,大专,15k-25k,苏州
3989829,不限,不限,8K-16K,广州
4498837,1-3年,本科,8k-15k,杭州
4869834,3-5年,本科,20k-30k,杭州
3906339,应届毕业生,本科,8k-16k,深圳
4736680,1-3年,本科,6k-8k,北京
5303240,3-5年,本科,15k-20k,北京
5371948,应届毕业生,本科,20k-38k,北京
3919605,应届毕业生,本科,3k-5k,深圳
4839763,1-3年,本科,15k-30k,北京
4975294,3-5年,大专,15k-25k,深圳
5306064,5-10年,本科,15k-16k,北京
5271447,1-3年,本科,10k-20k,深圳
4728240,3-5年,本科,15k-30k,北京
5284892,3-5年,大专,8k-14k,苏州
3968289,3-5年,本科,10k-20k,上海
4701933,1-3年,不限,10k-15k,深圳
5147986,5-10年,本科,20k-40k,北京
1794529,不限,本科,4k-5k,上海
2987808,1-3年,大专,10k-15k,广州
3720481,1-3年,本科,17k-26k,北京
3541057,1-3年,大专,8k-14k,武汉
5147927,不限,本科,25k-35k,北京
4013623,1-3年,本科,18k-30k,北京
5377145,1-3年,硕士,8k-16k,苏州
5102112,1-3年,本科,8k-15k,深圳
4894179,1年以下,本科,17k-25k,北京
5091370,1-3年,本科,8k-12k,长沙
5015981,1-3年,本科,10k-20k,北京
4483476,3-5年,本科,10k-20k,郑州
5373175,3-5年,本科,15k-25k,杭州
5303967,3-5年,本科,8k-15k,长沙
4135705,不限,本科,15k-30k,上海
2832784,1-3年,不限,8k-15k,杭州
5015227,1-3年,本科,10k-15k,杭州
5255389,3-5年,本科,10k-20k,武汉
5104651,3-5年,本科,20k-40k,北京
5168548,3-5年,本科,20k-30k,北京
5274001,应届毕业生,本科,8k-9k,上海
5220498,5-10年,本科,18k-25k,杭州
5088740,3-5年,大专,10k-15k,深圳
4955044,3-5年,本科,8k-10k,武汉
4939124,1-3年,本科,15k-30k,北京
4064556,1-3年,本科,10k-15k,青岛
5328594,3-5年,本科,15k-30k,上海
4617173,3-5年,本科,25k-50k,上海
5270106,1-3年,本科,15k-30k,杭州
4600991,3-5年,大专,9k-15k,深圳
4203473,1-3年,本科,6k-10k,武汉
5039177,1-3年,大专,10k-15k,长沙
3472995,5-10年,硕士,20k-40k,上海
2926022,3-5年,本科,8k-15k,西安
3891166,3-5年,本科,15k-25k,北京
2725373,3-5年,本科,15k-30k,上海
5069650,3-5年,本科,25k-43k,杭州
4251786,不限,不限,15k-25k,北京
5264898,3-5年,本科,15k-25k,西安
